"X"	"Team"	"Game"	"Date"	"Home"	"Opponent"	"WINorLOSS"	"TeamPoints"	"OpponentPoints"	"FieldGoals"	"FieldGoalsAttempted"	"FieldGoals."	"X3PointShots"	"X3PointShotsAttempted"	"X3PointShots."	"FreeThrows"	"FreeThrowsAttempted"	"FreeThrows."	"OffRebounds"	"TotalRebounds"	"Assists"	"Steals"	"Blocks"	"Turnovers"	"TotalFouls"	"Opp.FieldGoals"	"Opp.FieldGoalsAttempted"	"Opp.FieldGoals."	"Opp.3PointShots"	"Opp.3PointShotsAttempted"	"Opp.3PointShots."	"Opp.FreeThrows"	"Opp.FreeThrowsAttempted"	"Opp.FreeThrows."	"Opp.OffRebounds"	"Opp.TotalRebounds"	"Opp.Assists"	"Opp.Steals"	"Opp.Blocks"	"Opp.Turnovers"	"Opp.TotalFouls"	"Season"	"Win"
"1"	1	"ATL"	1	"2014-10-29"	"Away"	"TOR"	"L"	102	109	40	80	0.5	13	22	0.591	9	17	0.529	10	42	26	6	8	17	24	37	90	0.411	8	26	0.308	27	33	0.818	16	48	26	13	9	9	22	"2014"	0
"32"	32	"ATL"	32	"2015-01-02"	"Away"	"UTA"	"W"	98	92	33	81	0.407	6	23	0.261	26	30	0.867	11	47	24	9	3	10	17	32	86	0.372	10	31	0.323	18	24	0.75	17	47	18	6	9	14	18	"2015"	1
"83"	110	"BOS"	1	"2014-10-29"	"Home"	"BRK"	"W"	121	105	49	88	0.557	8	22	0.364	15	23	0.652	9	35	28	11	5	12	25	39	80	0.488	7	19	0.368	20	26	0.769	9	39	20	6	7	20	21	"2014"	1
"112"	301	"BOS"	30	"2015-01-02"	"Home"	"DAL"	"L"	101	119	38	89	0.427	12	34	0.353	13	19	0.684	9	38	22	6	2	12	21	45	96	0.469	13	27	0.481	16	17	0.941	16	52	24	8	1	11	21	"2015"	0
"165"	112	"BRK"	1	"2014-10-29"	"Away"	"BOS"	"L"	105	121	39	80	0.488	7	19	0.368	20	26	0.769	9	39	20	6	7	20	21	49	88	0.557	8	22	0.364	15	23	0.652	9	35	28	11	5	12	25	"2014"	0
"196"	322	"BRK"	32	"2015-01-02"	"Away"	"ORL"	"W"	100	98	41	72	0.569	7	20	0.35	11	18	0.611	4	45	26	7	5	22	16	37	88	0.42	11	22	0.5	13	20	0.65	8	37	22	13	3	11	18	"2015"	1
"247"	114	"CHO"	1	"2014-10-29"	"Home"	"MIL"	"W"	108	106	41	101	0.406	6	21	0.286	20	29	0.69	15	50	27	8	9	10	20	39	80	0.488	7	14	0.5	21	24	0.875	3	35	25	9	10	14	25	"2014"	1
"280"	343	"CHO"	34	"2015-01-02"	"Home"	"CLE"	"L"	87	91	32	87	0.368	6	28	0.214	17	26	0.654	15	50	20	5	6	14	24	33	87	0.379	4	15	0.267	21	30	0.7	13	46	16	8	5	7	23	"2015"	0
"329"	116	"CHI"	1	"2014-10-29"	"Away"	"NYK"	"W"	104	80	36	71	0.507	7	24	0.292	25	30	0.833	10	47	21	9	4	15	18	31	85	0.365	3	17	0.176	15	17	0.882	14	38	19	9	5	11	22	"2014"	1
"361"	334	"CHI"	33	"2015-01-01"	"Home"	"DEN"	"W"	106	101	38	91	0.418	8	15	0.533	22	25	0.88	13	46	22	7	18	7	19	37	92	0.402	5	14	0.357	22	27	0.815	17	57	19	4	7	12	27	"2015"	1
